fecha,sk_fecha,anio,mes,dia,dia_semana
1950-01-05,1,1950,1,5,3
1950-01-06,2,1950,1,6,4
1950-01-07,3,1950,1,7,5
1950-01-12,4,1950,1,12,3
1950-01-18,5,1950,1,18,2
1950-01-22,6,1950,1,22,6
1950-01-23,7,1950,1,23,0
1950-01-28,8,1950,1,28,5
1950-02-02,9,1950,2,2,3
1950-02-08,10,1950,2,8,2
1950-02-17,11,1950,2,17,4
1950-02-18,12,1950,2,18,5
1950-02-27,13,1950,2,27,0
1950-03-02,14,1950,3,2,3
1950-03-19,15,1950,3,19,6
1950-03-24,16,1950,3,24,4
1950-03-27,17,1950,3,27,0
1950-04-08,18,1950,4,8,5
1950-04-09,19,1950,4,9,6
1950-04-12,20,1950,4,12,2
1950-04-17,21,1950,4,17,0
1950-04-18,22,1950,4,18,1
1950-04-19,23,1950,4,19,2
1950-04-24,24,1950,4,24,0
1950-04-29,25,1950,4,29,5
1950-05-05,26,1950,5,5,4
1950-05-07,27,1950,5,7,6
1950-05-10,28,1950,5,10,2
1950-05-13,29,1950,5,13,5
1950-05-16,30,1950,5,16,1
1950-05-17,31,1950,5,17,2
1950-05-19,32,1950,5,19,4
1950-05-21,33,1950,5,21,6
1950-05-22,34,1950,5,22,0
1950-05-26,35,1950,5,26,4
1950-05-27,36,1950,5,27,5
1950-05-31,37,1950,5,31,2
1950-06-07,38,1950,6,7,2
1950-06-11,39,1950,6,11,6
1950-06-19,40,1950,6,19,0
1950-07-05,41,1950,7,5,2
1950-07-14,42,1950,7,14,4
1950-07-16,43,1950,7,16,6
1950-07-23,44,1950,7,23,6
1950-08-03,45,1950,8,3,3
1950-08-06,46,1950,8,6,6
1950-08-12,47,1950,8,12,5
1950-08-13,48,1950,8,13,6
1950-08-15,49,1950,8,15,1
1950-09-05,50,1950,9,5,1
1950-09-12,51,1950,9,12,1
1950-09-14,52,1950,9,14,3
1950-09-20,53,1950,9,20,2
1950-09-21,54,1950,9,21,3
1950-09-24,55,1950,9,24,6
1950-09-26,56,1950,9,26,1
1950-09-28,57,1950,9,28,3
1950-10-03,58,1950,10,3,1
1950-10-04,59,1950,10,4,2
1950-10-08,60,1950,10,8,6
1950-10-14,61,1950,10,14,5
1950-10-15,62,1950,10,15,6
1950-10-19,63,1950,10,19,3
1950-10-22,64,1950,10,22,6
1950-10-25,65,1950,10,25,2
1950-11-09,66,1950,11,9,3
1950-11-19,67,1950,11,19,6
1950-11-25,68,1950,11,25,5
1950-12-02,69,1950,12,2,5
1950-12-05,70,1950,12,5,1
1950-12-11,71,1950,12,11,0
1950-12-15,72,1950,12,15,4
1950-12-16,73,1950,12,16,5
1950-12-17,74,1950,12,17,6
1950-12-18,75,1950,12,18,0
1950-12-28,76,1950,12,28,3
1951-01-04,77,1951,1,4,3
1951-01-08,78,1951,1,8,0
1951-01-11,79,1951,1,11,3
1951-01-14,80,1951,1,14,6
1951-01-24,81,1951,1,24,2
1951-01-25,82,1951,1,25,3
1951-01-29,83,1951,1,29,0
1951-02-08,84,1951,2,8,3
1951-02-17,85,1951,2,17,5
1951-02-24,86,1951,2,24,5
1951-03-12,87,1951,3,12,0
1951-03-14,88,1951,3,14,2
1951-03-21,89,1951,3,21,2
1951-03-29,90,1951,3,29,3
1951-04-09,91,1951,4,9,0
1951-04-12,92,1951,4,12,3
1951-04-16,93,1951,4,16,0
1951-04-23,94,1951,4,23,0
1951-04-27,95,1951,4,27,4
1951-04-28,96,1951,4,28,5
1951-05-03,97,1951,5,3,3
1951-05-05,98,1951,5,5,5
1951-05-14,99,1951,5,14,0
1951-05-15,100,1951,5,15,1
1951-05-17,101,1951,5,17,3
1951-05-18,102,1951,5,18,4
1951-05-22,103,1951,5,22,1
1951-05-23,104,1951,5,23,2
1951-05-25,105,1951,5,25,4
1951-05-27,106,1951,5,27,6
1951-06-07,107,1951,6,7,3
1951-06-10,108,1951,6,10,6
1951-06-11,109,1951,6,11,0
1951-06-30,110,1951,6,30,5
1951-07-04,111,1951,7,4,2
1951-07-10,112,1951,7,10,1
1951-07-19,113,1951,7,19,3
1951-08-02,114,1951,8,2,3
1951-08-07,115,1951,8,7,1
1951-08-11,116,1951,8,11,5
1951-08-17,117,1951,8,17,4
1951-08-20,118,1951,8,20,0
1951-09-01,119,1951,9,1,5
1951-09-16,120,1951,9,16,6
1951-09-17,121,1951,9,17,0
1951-09-21,122,1951,9,21,4
1951-09-22,123,1951,9,22,5
1951-09-27,124,1951,9,27,3
1951-10-01,125,1951,10,1,0
1951-10-09,126,1951,10,9,1
1951-10-15,127,1951,10,15,0
1951-10-26,128,1951,10,26,4
1951-10-29,129,1951,10,29,0
1951-11-01,130,1951,11,1,3
1951-11-04,131,1951,11,4,6
1951-11-05,132,1951,11,5,0
1951-11-06,133,1951,11,6,1
1951-11-09,134,1951,11,9,4
1951-11-16,135,1951,11,16,4
1951-11-18,136,1951,11,18,6
1951-12-06,137,1951,12,6,3
1951-12-15,138,1951,12,15,5
1951-12-20,139,1951,12,20,3
1951-12-21,140,1951,12,21,4
1951-12-29,141,1951,12,29,5
1952-01-24,142,1952,1,24,3
1952-01-26,143,1952,1,26,5
1952-01-29,144,1952,1,29,1
1952-02-01,145,1952,2,1,4
1952-02-02,146,1952,2,2,5
1952-02-13,147,1952,2,13,2
1952-02-16,148,1952,2,16,5
1952-02-17,149,1952,2,17,6
1952-03-07,150,1952,3,7,4
1952-03-18,151,1952,3,18,1
1952-03-21,152,1952,3,21,4
1952-03-26,153,1952,3,26,2
1952-04-10,154,1952,4,10,3
1952-04-20,155,1952,4,20,6
1952-04-21,156,1952,4,21,0
1952-04-23,157,1952,4,23,2
1952-04-28,158,1952,4,28,0
1952-05-03,159,1952,5,3,5
1952-05-12,160,1952,5,12,0
1952-05-23,161,1952,5,23,4
1952-05-25,162,1952,5,25,6
1952-05-26,163,1952,5,26,0
1952-05-27,164,1952,5,27,1
1952-06-03,165,1952,6,3,1
1952-06-06,166,1952,6,6,4
1952-06-10,167,1952,6,10,1
1952-06-12,168,1952,6,12,3
1952-06-14,169,1952,6,14,5
1952-06-17,170,1952,6,17,1
1952-06-20,171,1952,6,20,4
1952-06-27,172,1952,6,27,4
1952-07-08,173,1952,7,8,1
1952-07-10,174,1952,7,10,3
1952-07-15,175,1952,7,15,1
1952-07-16,176,1952,7,16,2
1952-07-21,177,1952,7,21,0
1952-08-08,178,1952,8,8,4
1952-08-13,179,1952,8,13,2
1952-08-17,180,1952,8,17,6
1952-08-28,181,1952,8,28,3
1952-08-29,182,1952,8,29,4
1952-09-01,183,1952,9,1,0
1952-09-02,184,1952,9,2,1
1952-09-17,185,1952,9,17,2
1952-09-22,186,1952,9,22,0
1952-09-26,187,1952,9,26,4
1952-09-29,188,1952,9,29,0
1952-09-30,189,1952,9,30,1
1952-10-11,190,1952,10,11,5
1952-10-14,191,1952,10,14,1
1952-11-12,192,1952,11,12,2
1952-11-13,193,1952,11,13,3
1952-11-17,194,1952,11,17,0
1952-11-29,195,1952,11,29,5
1952-12-10,196,1952,12,10,2
1952-12-20,197,1952,12,20,5
1952-12-24,198,1952,12,24,2
1952-12-26,199,1952,12,26,4
1953-01-04,200,1953,1,4,6
1953-01-11,201,1953,1,11,6
1953-01-12,202,1953,1,12,0
1953-01-16,203,1953,1,16,4
1953-01-25,204,1953,1,25,6
1953-01-27,205,1953,1,27,1
1953-02-06,206,1953,2,6,4
1953-02-18,207,1953,2,18,2
1953-02-19,208,1953,2,19,3
1953-02-20,209,1953,2,20,4
1953-02-26,210,1953,2,26,3
1953-03-09,211,1953,3,9,0
1953-03-12,212,1953,3,12,3
1953-03-16,213,1953,3,16,0
1953-03-21,214,1953,3,21,5
1953-03-25,215,1953,3,25,2
1953-03-28,216,1953,3,28,5
1953-04-18,217,1953,4,18,5
1953-04-25,218,1953,4,25,5
1953-05-17,219,1953,5,17,6
1953-05-24,220,1953,5,24,6
1953-05-29,221,1953,5,29,4
1953-06-01,222,1953,6,1,0
1953-06-06,223,1953,6,6,5
1953-06-07,224,1953,6,7,6
1953-06-10,225,1953,6,10,2
1953-06-11,226,1953,6,11,3
1953-06-13,227,1953,6,13,5
1953-06-14,228,1953,6,14,6
1953-06-15,229,1953,6,15,0
1953-06-21,230,1953,6,21,6
1953-06-26,231,1953,6,26,4
1953-06-27,232,1953,6,27,5
1953-07-09,233,1953,7,9,3
1953-07-12,234,1953,7,12,6
1953-07-18,235,1953,7,18,5
1953-07-22,236,1953,7,22,2
1953-07-23,237,1953,7,23,3
1953-07-30,238,1953,7,30,3
1953-08-10,239,1953,8,10,0
1953-08-13,240,1953,8,13,3
1953-08-17,241,1953,8,17,0
1953-08-19,242,1953,8,19,2
1953-08-24,243,1953,8,24,0
1953-08-26,244,1953,8,26,2
1953-08-31,245,1953,8,31,0
1953-09-02,246,1953,9,2,2
1953-09-06,247,1953,9,6,6
1953-09-07,248,1953,9,7,0
1953-09-08,249,1953,9,8,1
1953-09-10,250,1953,9,10,3
1953-09-22,251,1953,9,22,1
1953-09-24,252,1953,9,24,3
1953-09-26,253,1953,9,26,5
1953-10-01,254,1953,10,1,3
1953-10-04,255,1953,10,4,6
1953-10-07,256,1953,10,7,2
1953-10-11,257,1953,10,11,6
1953-10-14,258,1953,10,14,2
1953-10-16,259,1953,10,16,4
1953-10-18,260,1953,10,18,6
1953-11-06,261,1953,11,6,4
1953-11-17,262,1953,11,17,1
1953-11-19,263,1953,11,19,3
1953-11-21,264,1953,11,21,5
1953-11-24,265,1953,11,24,1
1953-11-26,266,1953,11,26,3
1953-12-02,267,1953,12,2,2
1953-12-11,268,1953,12,11,4
1953-12-17,269,1953,12,17,3
1953-12-19,270,1953,12,19,5
1953-12-20,271,1953,12,20,6
1953-12-25,272,1953,12,25,4
1953-12-27,273,1953,12,27,6
1954-01-08,274,1954,1,8,4
1954-01-10,275,1954,1,10,6
1954-01-14,276,1954,1,14,3
1954-01-16,277,1954,1,16,5
1954-01-18,278,1954,1,18,0
1954-01-26,279,1954,1,26,1
1954-01-27,280,1954,1,27,2
1954-01-29,281,1954,1,29,4
1954-01-31,282,1954,1,31,6
1954-02-01,283,1954,2,1,0
1954-02-04,284,1954,2,4,3
1954-02-07,285,1954,2,7,6
1954-02-08,286,1954,2,8,0
1954-02-14,287,1954,2,14,6
1954-02-24,288,1954,2,24,2
1954-02-27,289,1954,2,27,5
1954-03-01,290,1954,3,1,0
1954-03-09,291,1954,3,9,1
1954-03-10,292,1954,3,10,2
1954-03-11,293,1954,3,11,3
1954-03-13,294,1954,3,13,5
1954-03-16,295,1954,3,16,1
1954-03-25,296,1954,3,25,3
1954-03-26,297,1954,3,26,4
1954-03-27,298,1954,3,27,5
1954-04-03,299,1954,4,3,5
1954-04-07,300,1954,4,7,2
1954-04-13,301,1954,4,13,1
1954-04-17,302,1954,4,17,5
